latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp
9.19761,78.44072,337,0.43,0.38,2017-09-22,0815,N,VIIRS,n,1,305.1,2.8
8.992,77.8883,340.1,0.48,0.4,2017-09-27,0821,N,VIIRS,n,1,302,4.4
8.94821,78.11818,332.2,0.44,0.46,2017-09-29,0744,N,VIIRS,n,1,298.5,0.7
17.95149,80.80087,301.6,0.64,0.54,2017-09-15,1939,N,VIIRS,n,1,287.4,2
17.95096,80.80387,295.8,0.4,0.6,2017-09-26,1933,N,VIIRS,n,1,271.2,0.7
24.20214,82.71921,311.1,0.41,0.37,2017-09-03,2002,N,VIIRS,n,1,294.5,1.2
24.20177,82.72407,304.6,0.43,0.46,2017-10-14,2034,N,VIIRS,n,1,292.7,1.6
24.16972,82.5632,304.5,0.47,0.47,2017-09-04,1944,N,VIIRS,n,1,292.2,1
24.16278,82.54842,306.4,0.39,0.36,2017-09-13,2015,N,VIIRS,n,1,286,0.7
24.14392,82.56615,306.4,0.46,0.63,2017-10-07,1925,N,VIIRS,n,1,285,0.8
26.92856,83.41135,329.6,0.57,0.69,2017-10-13,0826,N,VIIRS,n,1,293.5,4.2
22.32848,82.66438,304.3,0.38,0.36,2017-09-24,2009,N,VIIRS,n,1,285.8,0.5
22.33364,82.60925,309,0.57,0.52,2017-10-03,2041,N,VIIRS,n,1,289.5,2
22.33213,82.60529,317.5,0.38,0.36,2017-10-10,2009,N,VIIRS,n,1,292.8,2.1
22.33276,82.6066,326,0.45,0.63,2017-10-13,2053,N,VIIRS,n,1,289.1,3.7
24.1432,82.56441,309.1,0.46,0.64,2017-09-05,1925,N,VIIRS,n,1,288.2,1.7
24.12511,82.61748,304,0.39,0.37,2017-09-13,2015,N,VIIRS,n,1,285.4,0.4
24.16147,82.54862,301.2,0.32,0.55,2017-09-22,2047,N,VIIRS,n,1,286.8,0.2
24.20364,82.72503,310.5,0.52,0.42,2017-10-09,2028,N,VIIRS,n,1,294.6,2.3
17.60543,83.20049,314.1,0.41,0.37,2017-09-08,2011,N,VIIRS,n,1,294.3,3.5
23.35836,83.22338,304.5,0.57,0.43,2017-09-23,2028,N,VIIRS,n,1,291.9,1.3
23.3581,83.22203,305.7,0.39,0.36,2017-09-24,2009,N,VIIRS,n,1,292.4,1
23.35954,83.22215,305.3,0.47,0.48,2017-10-14,2034,N,VIIRS,n,1,293.3,1.3
24.1488,82.5623,299.6,0.62,0.72,2017-09-21,2105,N,VIIRS,n,1,278.6,2.4
22.00228,82.66887,311.5,0.46,0.47,2017-10-14,2035,N,VIIRS,n,1,290.7,1.5
24.20495,82.72099,307.9,0.46,0.47,2017-09-04,1944,N,VIIRS,n,1,293.6,1.8
